config,leg,rep,wall_s,solutions,exit_code,search_card_ok,filter_ok,other_card_seen,util_amd_max_pct,util_nv_max_pct,phase_enum_ms,phase_budget_ms,phase_sieve_ms,phase_search_ms,phase_total_ms,search_h2d_ms,search_kernel_ms,search_d2h_ms,search_emit_ms,phase_wheel_expansion_ms,phase_zero_fill_ms,phase_sched_teardown_ms,phase_search_setup_ms,phase_search_teardown_ms,unaccounted_ms,sha256_ok
amd_gpu,262144,5,0.243,9163,0,yes,yes,no,74,0,7.599,0.008,52.578,152.433,213.867,0.111,149.683,0.235,2.405,,0.003,0.456,0.272,0.045,,yes
amd_gpu,327680,1,0.335,11395,0,yes,yes,no,77,0,7.482,0.007,67.893,228.923,306.222,0.119,225.446,0.319,3.040,,0.003,0.612,0.440,0.061,,na
amd_gpu,327680,2,0.341,11395,0,yes,yes,no,38,0,7.572,0.007,67.826,230.766,308.074,0.109,227.355,0.301,3.001,,0.003,0.571,0.395,0.060,,na
amd_gpu,327680,3,0.311,11395,0,yes,yes,no,35,0,7.370,0.008,70.474,202.278,281.916,0.099,198.867,0.290,3.022,,0.003,0.802,0.357,0.062,,na
amd_gpu,327680,4,0.339,11395,0,yes,yes,no,59,0,7.566,0.010,71.133,228.169,308.386,0.102,224.727,0.302,3.039,,0.003,0.562,0.291,0.057,,na
amd_gpu,327680,5,0.349,11395,0,yes,yes,no,34,0,7.412,0.008,70.559,241.761,321.550,0.111,238.316,0.316,3.019,,0.002,0.568,0.411,0.064,,na
amd_gpu,393216,1,0.440,13675,0,yes,yes,no,99,0,7.271,0.007,90.746,312.152,412.222,0.112,308.111,0.311,3.618,,0.003,0.742,0.307,0.057,,na
amd_gpu,393216,2,0.472,13675,0,yes,yes,no,99,0,7.052,0.008,90.919,343.983,443.918,0.098,339.942,0.313,3.629,,0.003,0.675,0.230,0.059,,na
amd_gpu,393216,3,0.443,13675,0,yes,yes,no,99,0,7.815,0.008,92.484,312.127,414.529,0.115,308.063,0.340,3.609,,0.003,0.626,0.307,0.059,,na
amd_gpu,393216,4,0.441,13675,0,yes,yes,no,99,0,7.184,0.007,90.417,308.920,408.241,0.106,304.861,0.317,3.635,,0.003,0.615,0.232,0.058,,na
amd_gpu,393216,5,0.473,13675,0,yes,yes,no,99,0,7.266,0.007,92.238,343.436,445.220,0.110,339.360,0.348,3.618,,0.003,0.843,0.256,0.059,,na
amd_gpu,458752,1,0.565,16032,0,yes,yes,no,99,0,7.168,0.009,117.995,409.965,537.268,0.104,405.262,0.378,4.222,,0.003,0.723,0.315,0.052,,na
amd_gpu,458752,2,0.520,16032,0,yes,yes,no,99,0,7.262,0.007,118.380,364.199,492.455,0.113,359.436,0.389,4.261,,0.003,0.771,0.473,0.059,,na
amd_gpu,458752,3,0.566,16032,0,yes,yes,no,99,0,7.044,0.007,134.871,392.491,537.136,0.111,387.778,0.384,4.217,,0.003,0.739,0.599,0.053,,na
amd_gpu,458752,4,0.553,16032,0,yes,yes,no,99,0,7.472,0.007,118.773,395.831,524.825,0.115,391.025,0.392,4.299,,0.003,0.823,0.476,0.052,,na
amd_gpu,458752,5,0.541,16032,0,yes,yes,no,99,0,7.387,0.010,121.281,382.266,513.524,0.122,377.489,0.392,4.264,,0.003,0.732,0.485,0.053,,na
amd_gpu,524288,1,0.725,18408,0,yes,yes,no,100,0,7.681,0.007,149.422,536.155,696.115,0.108,530.779,0.391,4.877,,0.003,0.821,0.342,0.051,,yes
amd_gpu,524288,2,0.724,18408,0,yes,yes,no,100,0,7.397,0.007,151.530,534.389,696.220,0.103,528.959,0.407,4.920,,0.003,0.853,0.375,0.053,,yes
amd_gpu,524288,3,0.697,18408,0,yes,yes,no,100,0,7.339,0.007,152.191,507.539,669.832,0.116,501.956,0.392,5.075,,0.003,0.784,0.363,0.041,,yes
amd_gpu,524288,4,0.703,18408,0,yes,yes,no,100,0,7.091,0.009,151.673,513.046,675.019,0.120,507.592,0.408,4.927,,0.003,0.841,0.354,0.052,,yes
amd_gpu,524288,5,0.750,18408,0,yes,yes,no,100,0,7.166,0.007,167.592,544.258,721.804,0.117,538.689,0.394,5.058,,0.003,0.810,0.330,0.042,,yes
amd_gpu,589824,1,0.925,20414,0,yes,yes,no,100,0,7.164,0.007,187.946,699.860,898.641,0.118,693.823,0.464,5.456,,0.003,1.001,0.559,0.066,,na
amd_gpu,589824,2,0.866,20414,0,yes,yes,no,100,0,7.167,0.009,188.773,639.786,838.578,0.121,633.583,0.436,5.646,,0.004,0.873,0.528,0.052,,na
amd_gpu,589824,3,0.881,20414,0,yes,yes,no,100,0,7.721,0.011,189.378,650.752,851.776,0.114,644.548,0.456,5.634,,0.003,0.955,0.851,0.053,,na
amd_gpu,589824,4,0.909,20414,0,yes,yes,no,100,0,7.962,0.007,184.825,686.469,882.431,0.108,680.399,0.420,5.542,,0.003,0.704,0.442,0.047,,na
amd_gpu,589824,5,0.901,20414,0,yes,yes,no,100,0,7.217,0.007,187.570,673.155,872.021,0.133,666.991,0.460,5.570,,0.003,0.901,0.869,0.052,,na
amd_gpu,655360,1,1.006,22558,0,yes,yes,no,100,0,7.321,0.007,226.870,739.281,977.197,0.108,732.646,0.481,6.045,,0.003,1.225,0.408,0.062,,na
amd_gpu,655360,2,1.012,22558,0,yes,yes,no,100,0,7.323,0.007,227.816,744.631,984.108,0.116,737.988,0.489,6.037,,0.003,1.351,0.407,0.064,,na
amd_gpu,655360,3,1.023,22558,0,yes,yes,no,100,0,7.413,0.009,230.126,750.490,991.457,0.104,743.895,0.488,6.002,,0.015,1.118,0.333,0.060,,na
amd_gpu,720896,1,1.259,24726,0,yes,yes,no,100,0,7.732,0.007,275.666,941.600,1229.903,0.124,934.293,0.554,6.628,,0.003,1.363,0.639,0.061,,na
amd_gpu,720896,2,1.239,24726,0,yes,yes,no,100,0,7.892,0.007,282.632,914.842,1209.715,0.086,907.567,0.538,6.652,,0.003,1.329,0.480,0.062,,na
amd_gpu,720896,3,1.251,24726,0,yes,yes,no,100,0,7.285,0.007,279.732,932.834,1224.174,0.125,925.222,0.517,6.970,,0.003,1.096,0.596,0.052,,na
amd_gpu,786432,1,1.436,26847,0,yes,yes,no,100,0,7.064,0.007,325.080,1071.602,1408.569,0.113,1063.723,0.568,7.198,,0.003,1.257,0.402,0.057,,na
amd_gpu,786432,2,1.474,26847,0,yes,yes,no,100,0,7.632,0.007,330.650,1102.353,1446.043,0.112,1094.479,0.551,7.210,,0.004,1.317,0.385,0.056,,na
amd_gpu,786432,3,1.449,26847,0,yes,yes,no,100,0,7.724,0.007,323.810,1083.822,1419.378,0.116,1075.789,0.526,7.392,,0.003,1.205,0.466,0.039,,na
amd_gpu,851968,1,1.813,29012,0,yes,yes,no,100,0,7.040,0.009,375.487,1395.055,1782.776,0.108,1386.486,0.640,7.821,,0.004,1.482,0.529,0.063,,na
amd_gpu,851968,2,1.765,29012,0,yes,yes,no,100,0,7.444,0.007,376.498,1349.311,1739.800,0.125,1340.583,0.627,7.976,,0.003,1.268,0.703,0.063,,na
amd_gpu,851968,3,1.713,29012,0,yes,yes,no,100,0,7.555,0.007,382.405,1287.652,1683.271,0.110,1279.127,0.624,7.790,,0.003,1.339,0.514,0.065,,na
amd_gpu,917504,1,1.930,31145,0,yes,yes,no,100,0,7.126,0.007,433.579,1456.280,1902.952,0.149,1447.063,0.680,8.387,,0.003,1.229,0.613,0.064,,na
amd_gpu,917504,2,1.971,31145,0,yes,yes,no,100,0,7.367,0.008,440.802,1484.933,1939.395,0.126,1475.641,0.644,8.522,,0.003,1.363,0.736,0.067,,na
amd_gpu,917504,3,1.974,31145,0,yes,yes,no,100,0,7.372,0.007,451.718,1475.973,1941.323,0.123,1466.817,0.631,8.402,,0.003,1.583,0.580,0.063,,na
amd_gpu,983040,1,2.126,33347,0,yes,yes,no,100,0,7.915,0.007,497.274,1586.525,2098.064,0.128,1576.706,0.697,8.993,,0.003,1.284,0.803,0.067,,na
amd_gpu,983040,2,2.239,33347,0,yes,yes,no,100,0,7.329,0.008,514.230,1684.255,2213.040,0.138,1674.376,0.703,9.038,,0.003,1.398,0.700,0.062,,na
amd_gpu,983040,3,2.227,33347,0,yes,yes,no,100,0,7.240,0.007,500.489,1685.362,2199.195,0.176,1675.559,0.692,8.935,,0.004,1.499,0.692,0.062,,na
amd_gpu,1048576,1,2.437,35556,0,yes,yes,no,100,0,7.456,0.007,569.645,1821.895,2405.966,0.137,1811.354,0.700,9.705,,0.003,1.336,0.635,0.059,,yes
amd_gpu,1048576,2,2.457,35556,0,yes,yes,no,100,0,7.675,0.008,574.651,1836.892,2426.096,0.112,1826.471,0.722,9.588,,0.003,1.325,0.587,0.053,,yes
amd_gpu,1048576,3,2.495,35556,0,yes,yes,no,100,0,7.053,0.007,576.507,1872.965,2463.023,0.119,1862.586,0.721,9.539,,0.003,1.286,0.510,0.049,,yes
amd_gpu,1114112,1,2.777,37791,0,yes,yes,no,100,0,7.427,0.007,647.161,2081.787,2744.451,0.130,2070.548,0.787,10.322,,0.004,1.294,1.136,0.060,,na
amd_gpu,1114112,2,2.772,37791,0,yes,yes,no,100,0,7.443,0.007,653.865,2072.412,2741.394,0.127,2061.346,0.783,10.156,,0.003,1.811,0.752,0.060,,na
amd_gpu,1114112,3,2.853,37791,0,yes,yes,no,100,0,7.552,0.009,640.762,2166.068,2822.540,0.133,2154.947,0.825,10.164,,0.003,1.438,0.813,0.063,,na
amd_gpu,1179648,1,3.228,39949,0,yes,yes,no,100,0,7.271,0.007,723.377,2458.100,3198.271,0.134,2446.290,0.844,10.831,,0.003,1.791,0.700,0.056,,na
amd_gpu,1179648,2,3.133,39949,0,yes,yes,no,100,0,7.343,0.009,728.756,2358.258,3102.738,0.133,2346.354,0.791,10.979,,0.003,1.342,0.687,0.061,,na
amd_gpu,1179648,3,3.263,39949,0,yes,yes,no,100,0,7.617,0.007,731.282,2484.982,3232.750,0.127,2473.049,0.893,10.913,,0.003,1.751,0.664,0.062,,na
amd_gpu,1245184,1,3.532,42106,0,yes,yes,no,100,0,8.478,0.007,812.955,2670.263,3502.238,0.122,2657.834,0.880,11.427,,0.003,2.846,0.887,0.063,,na
amd_gpu,1245184,2,3.534,42106,0,yes,yes,no,100,0,7.338,0.007,826.237,2660.352,3504.321,0.127,2647.820,0.956,11.449,,0.003,2.018,0.936,0.066,,na
amd_gpu,1245184,3,3.611,42106,0,yes,yes,no,100,0,7.543,0.008,822.875,2740.369,3580.592,0.130,2727.912,0.896,11.431,,0.003,1.377,0.923,0.061,,na
amd_gpu,1310720,1,3.978,44313,0,yes,yes,no,100,0,7.796,0.009,906.426,3023.805,3948.980,0.149,3010.596,0.911,12.149,,0.003,1.816,0.837,0.060,,na
amd_gpu,1310720,2,4.183,44313,0,yes,yes,no,100,0,7.145,0.007,913.653,3223.296,4153.601,0.132,3210.210,0.925,12.030,,0.004,1.630,0.730,0.062,,na
amd_gpu,1310720,3,4.003,44313,0,yes,yes,no,100,0,7.054,0.008,919.346,3036.562,3972.576,0.136,3022.365,0.977,13.084,,0.003,1.712,0.958,0.076,,na
amd_gpu,1376256,1,4.431,46576,0,yes,yes,no,100,0,7.180,0.008,1014.565,3367.644,4400.306,0.134,3354.002,0.964,12.544,,0.003,1.498,0.928,0.062,,na
amd_gpu,1376256,2,4.371,46576,0,yes,yes,no,100,0,7.230,0.007,1017.710,3306.271,4341.953,0.126,3292.490,0.975,12.680,,0.004,1.481,0.865,0.066,,na
amd_gpu,1376256,3,4.420,46576,0,yes,yes,no,100,0,7.377,0.009,1015.109,3358.386,4390.904,0.136,3344.686,0.982,12.581,,0.003,1.673,0.988,0.063,,na
amd_gpu,1441792,1,4.819,48779,0,yes,yes,no,100,0,7.219,0.008,1146.699,3623.674,4788.388,0.121,3609.179,0.987,13.387,,0.003,1.798,0.822,0.064,,na
amd_gpu,1441792,2,4.937,48779,0,yes,yes,no,100,0,7.565,0.007,1129.532,3757.025,4905.930,0.140,3742.611,0.991,13.283,,0.003,1.761,0.826,0.064,,na
amd_gpu,1441792,3,4.878,48779,0,yes,yes,no,100,0,7.319,0.007,1127.486,3702.291,4848.572,0.121,3687.692,1.063,13.414,,0.003,2.212,0.866,0.064,,na
amd_gpu,1507328,1,5.260,51053,0,yes,yes,no,100,0,7.368,0.007,1265.018,3943.051,5228.510,0.128,3927.934,1.118,13.871,,0.004,1.524,0.871,0.058,,na
amd_gpu,1507328,2,5.484,51053,0,yes,yes,no,100,0,7.499,0.007,1246.931,4186.698,5452.239,0.132,4171.548,1.063,13.954,,0.004,1.796,0.858,0.062,,na
amd_gpu,1507328,3,5.419,51053,0,yes,yes,no,100,0,7.390,0.007,1248.138,4122.302,5390.199,0.138,4107.354,1.098,13.712,,0.003,2.212,0.815,0.060,,na
amd_gpu,1572864,1,5.887,53287,0,yes,yes,no,100,0,7.575,0.007,1369.091,4467.822,5856.067,0.143,4452.176,1.061,14.442,,0.003,1.409,0.884,0.065,,na
amd_gpu,1572864,2,5.870,53287,0,yes,yes,no,100,0,7.345,0.009,1385.276,4434.701,5839.234,0.141,4418.868,1.098,14.594,,0.003,1.427,0.936,0.062,,na
